year,date,actor,actor_type,direction,event_type,scale,detail,source_url,source_type,confidence
2024,Dec,Apollo Research,research,model_organisms,publication,,"'Frontier Models are Capable of In-Context Scheming' (Dec 2024, Apollo): o1/Claude/Gemini/Llama can scheme in-context; 5-of-6 frontier models showed scheming behaviours",https://arxiv.org/abs/2412.04984,arxiv,high
2025,Mar,Anthropic,industry,interpretability,publication,,"'Auditing Language Models for Hidden Objectives' (Mar 2025): trains a model with a hidden goal, then blind teams recover it via interpretability - first real alignment-audit game",https://www.anthropic.com/research/auditing-hidden-objectives,org,high
2025,Jun,Anthropic,industry,model_organisms,publication,,'Agentic Misalignment: How LLMs could be insider threats' (Jun 2025): in stress tests 16 frontier models resorted to blackmail/leaking to avoid shutdown - agentic-deception demo across labs,https://www.anthropic.com/research/agentic-misalignment,org,high
2025,Sep,OpenAI,industry,model_organisms,publication,,"'Stress Testing Deliberative Alignment for Anti-Scheming Training' (Sep 2025, OpenAI + Apollo): anti-scheming training cuts covert actions ~30x but doesn't eliminate them; evaluation-awareness confounds results",https://www.antischeming.ai/,org,high
2023,Jul,Frontier Model Forum,industry,governance,founded,,"Frontier Model Forum founded (Jul 2023, Anthropic/Google/Microsoft/OpenAI): industry body for frontier-AI safety best practices; launches a >$10M AI Safety Fund (Oct 2023)",https://www.frontiermodelforum.org/,org,high
2024,May,Seoul Summit,government,governance,statement,,AI Seoul Summit (21-22 May 2024): 16 frontier-AI companies sign the 'Frontier AI Safety Commitments' - each pledges a published safety framework with risk thresholds before the Paris summit,https://www.gov.uk/government/publications/frontier-ai-safety-commitments-ai-seoul-summit-2024/frontier-ai-safety-commitments-ai-seoul-summit-2024,gov,high
2024,May,Seoul Summit,government,governance,statement,,Seoul Ministerial Statement (May 2024): 27 nations + EU agree for the first time to develop shared risk thresholds for 'severe' frontier-AI risks,https://www.gov.uk/government/publications/seoul-ministerial-statement-for-advancing-ai-safety-innovation-and-inclusivity-ai-seoul-summit-2024/seoul-ministerial-statement-for-advancing-ai-safety-innovation-and-inclusivity-ai-seoul-summit-2024,gov,high
2024,Aug,EU,government,governance,program_launch,,"EU AI Act enters into force (1 Aug 2024): world's first comprehensive AI law; staggered obligations, GPAI rules from Aug 2025, high-risk from Aug 2026",https://digital-strategy.ec.europa.eu/en/policies/regulatory-framework-ai,gov,high
2024,Sep,California,government,governance,statement,,"California SB 1047 (frontier-model safety bill: testing, kill-switch, liability) vetoed by Gov. Newsom (29 Sep 2024) - the field's biggest failed hard-law attempt",https://www.gov.ca.gov/2024/09/29/governor-newsom-announces-new-initiatives-to-advance-safe-and-responsible-ai/,gov,high
2025,Jan,White House,government,governance,statement,,US rescinds Biden's 2023 AI Executive Order and issues 'Removing Barriers to American Leadership in AI' (23 Jan 2025) - federal pivot from 'safety' to 'dominance'/deregulation,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,gov,high
2025,Jul,EU,government,governance,program_launch,,EU publishes the GPAI Code of Practice (Jul 2025) - voluntary compliance path for general-purpose-AI providers under the AI Act ahead of Aug-2025 obligations,https://digital-strategy.ec.europa.eu/en/policies/contents-code-gpai,gov,high
2025,Sep,California,government,governance,statement,,"California SB 53 (Transparency in Frontier AI Act) signed into law (29 Sep 2025) - after SB 1047's veto, a lighter transparency/reporting regime for large frontier developers",https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB53,gov,high
2024,Nov,AI Safety Fund (FMF),industry,evals,grant_out,4000000,"AI Safety Fund (Frontier Model Forum) Round 1 grants (Nov 2024): $4.0M to 12 recipients for AI-bio safety evals, dangerous-capability methods, and deceptive-behaviour detection",https://www.frontiermodelforum.org/uploads/2025/12/Frontier-Model-Forum-Annual-Report-FY24-FY25.pdf,org,high
2025,Dec,AI Safety Fund (FMF),industry,evals,grant_out,5200000,"AI Safety Fund (Frontier Model Forum) Round 2 grants (Dec 2025): >$5.2M to 11 recipients for biosecurity, cybersecurity, AI-agent evaluation, and synthetic-content risks",https://www.frontiermodelforum.org/uploads/2025/12/Frontier-Model-Forum-Annual-Report-FY24-FY25.pdf,org,high
2021,Jun,FLI,funder,field_building,grant_out,25000000,"FLI $25M multi-year grants program (Shiba Inu Grants + Vitalik Buterin PhD/postdoc Fellowships in AI existential safety), funded by Vitalik Buterin's 2021 SHIB donation [multi-cause xrisk incl AI; FLI later liquidated ~$500M of the total donation]",https://futureoflife.org/grantmaking/fli-announces-grants-program-for-existential-risk-reduction/,org,high
2024,,LTFF,funder,field_building,grant_out,5000000,"LTFF 2024 AI-safety slice ~$5M [estimate]: May 2023-Mar 2024 payout was $5.36M/141 grants total, LTFF plans ~$8M total in 2024, and ~2/3 (~$5M) is AI safety per EA Forum funding overview",https://forum.effectivealtruism.org/posts/XdhwXppfqrpPL2YDX/an-overview-of-the-ai-safety-funding-situation,forum,med
2025,Feb,Schmidt Sciences,funder,evals,grant_out,10000000,"Schmidt Sciences 'AI Safety Science' program (announced Feb 2025): $10M to 27 projects (grants up to $500k) on LLM testing/evaluation science; founded by Eric & Wendy Schmidt",https://www.schmidtsciences.org/new-10-million-ai-safety-science-program-launched-for-foundational-research/,org,high
2023,,Manifund,funder,field_building,grant_out,1570000,"Manifund 2023: $1.57M dispersed to 27 technical AI-safety projects via expert regrantors (+ $112k AI governance) [2023 in review]",https://manifund.substack.com/p/manifund-2023-in-review,org,high
2024,,Manifund,funder,field_building,grant_out,1600000,"Manifund 2024 AI Safety Regranting pool ~$1.6M (funded primarily by Coefficient Giving; regrantors Gleave/Hendrycks/Hubinger/Aschenbrenner/Kidd/Nanda) [flag: overlaps Coefficient/OpenPhil]",https://forum.effectivealtruism.org/posts/onFtsHPEpFNXxq9CN/manifund-q1-retro-learnings-from-impact-certs,forum,med
2025,,Manifund,funder,field_building,grant_out,2250000,"Manifund 2025 AI-safety regranting: $2.25M raised for 10 regrantors ($100k+ budgets) [longtermwiki/manifund]",https://www.longtermwiki.com/wiki/E547,wiki,med
2025,,Longview Philanthropy,funder,field_building,grant_out,9000000,"Longview Philanthropy private Frontier AI Fund: ~$9M raised since ~Dec 2024 to seed/sustain AI-safety orgs (Longview has advised >$120M toward AI risk since founding; advisory, not all direct disbursement)",https://www.longview.org/careers/ai-grantmaker-generalist-or-us-ai-policy/,org,med
2024,Dec,Founders Pledge,funder,governance,grant_out,456770,"Founders Pledge Global Catastrophic Risks Fund AI grants 2024: Carnegie Endowment (CEIP) AI-safety decision-making $300k (syndicate+Fund) + CNAS AI threat-response $156,770",https://impact.founderspledge.com/2024/reducing-global-risks,org,med
2025,Nov,Founders Pledge,funder,governance,grant_out,350000,"Founders Pledge GCR Fund AI grants 2025: CNAS Northeast-Asia AI policy Track II $250k + Tarbell Center for AI Journalism $100k",https://www.founderspledge.com/funds/global-catastrophic-risks-fund,org,med
2023,Apr,UK AI Safety Institute,government,field_building,grant_out,125000000,"UK govt £100M initial funding for the Frontier AI Taskforce (became the AI Safety Institute): compute/eval capacity & ecosystem; USD reference at ~1.25 GBP/USD [gov.uk 24 Apr 2023]",https://www.gov.uk/government/news/initial-100-million-for-expert-taskforce-to-help-uk-build-and-adopt-next-generation-of-safe-ai,gov,high
2024,,ARIA,government,robustness,grant_out,74000000,"UK ARIA 'Safeguarded AI' programme: £59M over four years (from mid-2024) for quantitative safety guarantees / formal verification / gatekeeper AI; USD reference at ~1.25 GBP/USD [aria.org.uk]",https://aria.org.uk/opportunity-spaces/mathematics-for-safe-ai/safeguarded-ai/funding,gov,high
2023,,NSF,government,robustness,grant_out,20000000,"US NSF 'Safe Learning-Enabled Systems' program: $20M total across FY2023-2024 ($10M/yr), a partnership of NSF + Open Philanthropy + Good Ventures; ~$5M of the pool from Open Philanthropy [flag: partial overlap with OpenPhil totals]",https://www.nsf.gov/funding/opportunities/safe-learning-enabled-systems/506150/nsf23-562/solicitation,gov,high
2024,,US AI Safety Institute (NIST),government,evals,grant_out,10000000,"US AI Safety Institute (USAISI, now CAISI) at NIST: up to $10M FY2024 appropriations to stand up the institute (evals/standards/testing) + a further ~$10M via the Technology Modernization Fund",https://fedscoop.com/new-tmf-investments-support-ai-safety-institute-upgrades-to-nuclear-emergency-response/,gov,high
2025,Feb,UK AI Safety Institute,government,scalable_oversight,grant_out,34000000,"UK AISI-led 'Alignment Project': ~£27M international coalition fund (grants up to £1M to 60+ projects across 8 countries), incl £5.6M from OpenAI plus Microsoft/Schmidt/ARIA/CAISI/CIFAR; USD ref at ~1.25 [flag: coalition money, partial overlap with corporate/philanthropic funders]",https://www.gov.uk/government/news/openai-and-microsoft-join-uks-international-coalition-to-safeguard-ai-development,gov,med
2023,Jul,OpenAI,industry,scalable_oversight,statement,,"OpenAI 'Superalignment' team launched: committed 20% of secured compute over 4 years to aligning superintelligence (no public $ figure published; team dissolved May 2024)",https://openai.com/index/introducing-superalignment/,org,high
2005,,MIRI,research,agent_foundations,founded,,"MIRI incorporated 2000 as the Singularity Institute for AI (SIAI); reoriented to existential risk from AI in 2005 (moved to Silicon Valley), renamed MIRI 2013",https://en.wikipedia.org/wiki/Machine_Intelligence_Research_Institute,wikipedia,high
2014,Aug,Open Philanthropy,funder,macrostrategy,founded,,"Open Philanthropy Project named 2014 (from GiveWell Labs, 2011); became an independent organization June 2017",https://coefficientgiving.org/research/the-open-philanthropy-project-is-now-an-independent-organization/,openphil,high
2012,,CFAR,training,field_building,founded,,"Center for Applied Rationality founded 2012 (Salamon, Galef, Smith, Critch); grew out of MIRI rationality work",https://en.wikipedia.org/wiki/Center_for_Applied_Rationality,wikipedia,high
2017,Feb,LTFF,funder,field_building,founded,,Long-Term Future Fund launched Feb 2017 as part of the EA Funds launch (Centre for Effective Altruism),https://forum.effectivealtruism.org/topics/long-term-future-fund,eaf,high
2022,,METR,research,evals,founded,,ARC Evals founded within ARC (Beth Barnes) in 2022; spun out as independent 501(c)(3) and renamed METR Dec 2023,https://en.wikipedia.org/wiki/METR,wikipedia,high
2022,Feb,FTX Future Fund,funder,field_building,founded,,FTX Future Fund launched Feb 2022 by the FTX Foundation (Bankman-Fried); ceased Nov 2022 in the FTX collapse,https://forum.effectivealtruism.org/topics/future-fund,eaf,high
2016,Oct,CFI/Leverhulme,governance,governance,founded,,Leverhulme Centre for the Future of Intelligence (CFI) launched at Cambridge (19 Oct 2016; £10M Leverhulme Trust grant announced Dec 2015),https://en.wikipedia.org/wiki/Leverhulme_Centre_for_the_Future_of_Intelligence,wikipedia,high
2019,Feb,CSET,governance,governance,founded,,Center for Security and Emerging Technology (CSET) founded at Georgetown (Jan/Feb 2019; $55M founding grant; founding director Jason Matheny),https://en.wikipedia.org/wiki/Center_for_Security_and_Emerging_Technology,wikipedia,high
2017,,Convergence Analysis,research,macrostrategy,founded,,Convergence Analysis emerged as an x-risk strategy research collaboration (Kristoffersson & Shovelain) in 2017; relaunched as a formal AI scenario/governance research institute in 2024,https://www.convergenceanalysis.org/about-us,org,med
2018,,Median Group,research,macrostrategy,founded,,Median Group formed early 2018 (501(c)(3); ex-MIRI researchers incl. Jessica Taylor); GCR / AI-timelines modeling,https://mediangroup.org/,org,high
2024,,Open Philanthropy,funder,evals,grant_out,1500000,"OpenPhil 2024 grant to Center for AI Safety (CAIS) ~$1.5M [flag: itemized subset of OpenPhil's ~$28M 2024 technical-AI-safety total — a DIFFERENT lens from the donor funding_total series, NOT additive to it; per longtermwiki grant list]",https://www.longtermwiki.com/wiki/E297,wiki,med
2024,,Open Philanthropy,funder,ai_control,grant_out,1200000,"OpenPhil 2024 grant to Redwood Research ~$1.2M (AI control) [flag: itemized subset of OpenPhil's ~$28M 2024 total, NOT additive to the OpenPhil funding_total series]",https://www.longtermwiki.com/wiki/E297,wiki,med
2024,,Open Philanthropy,funder,agent_foundations,grant_out,1100000,"OpenPhil 2024 grant to MIRI ~$1.1M [flag: itemized subset of OpenPhil's ~$28M 2024 total, NOT additive to the OpenPhil funding_total series]",https://www.longtermwiki.com/wiki/E297,wiki,med
2025,Jul,EU AI Office,government,evals,grant_out,9806400,"EU AI Office EUR9.08M tender (Digital Europe Programme, Jul 2025) for technical support on GPAI systemic-risk evaluation: 6 lots (CBRN, cyber-offence, loss-of-control, manipulation, sociotechnical, agentic evals); USD ref at ~1.08 EUR/USD",https://digital-strategy.ec.europa.eu/en/funding/eu-ai-office-launches-eu9-million-tender-technical-support-gpai-safety,gov,high
2025,,Effektiv Spenden,funder,governance,grant_out,183845,"Effektiv Spenden 'Ensuring Safe AI' Giving Fund -> SaferAI EUR170,227 (H1-2025; allocated on Longview Philanthropy advice); USD ref at ~1.08 EUR/USD [German-speaking retail AI-safety fund, launched Dec 2024]",https://effektiv-spenden.org/en/blog/270-000-an-saferai-und-das-rand-meselsons-center/,org,med
2025,Nov,Australia AI Safety Institute,government,evals,grant_out,19734000,"Australian AI Safety Institute: A$29.9M over four years (A$3.5M in FY2025-26), announced Nov 2025, commenced early 2026; USD ref at ~0.66 AUD/USD [smaller than UK/Canada peers per senate testimony]",https://aapnews.aap.com.au/news/ai-on-a-budget-aussie-watchdog-trails-global-peers,news,med
2024,Nov,Canadian AI Safety Institute (CAISI),government,evals,grant_out,36500000,"Canadian AI Safety Institute (CAISI) initial budget CAD$50M over five years (Budget 2024; launched 12 Nov 2024) — incl CAD$27M research stream to CIFAR (deployed CAD$2.4M to 12 projects in 2025) + NRC gov-directed stream; USD ref at ~0.73 CAD/USD",https://www.canada.ca/en/innovation-science-economic-development/news/2024/11/canada-launches-canadian-artificial-intelligence-safety-institute.html,gov,high
2024,,DARPA,government,robustness,grant_out,10000000,"US DARPA GARD (Guaranteeing AI Robustness against Deception): $10M RDT&E requested FY2024 for defenses against adversarial-ML attacks; program wrapping up (no FY2025 request), tech transitioned to DoD CDAO",https://defensescoop.com/2024/03/27/darpa-transitions-tech-gard-program-cdao/,news,high
2024,,Macroscopic Ventures,funder,mixed_technical,statement,,"Macroscopic Ventures (Swiss nonprofit): stated plan to give up to $100M/yr across AI-risk focus areas; grantees incl Redwood, Apollo Research, Gray Swan, Halcyon + equity in Anthropic [no confirmed disbursed total published -> statement, not counted in $-charts]",https://macroscopic.org/grants,org,med
2023,,Nonlinear,funder,field_building,statement,,"Nonlinear Network: single-application conduit to 50+ AI-safety funders; facilitated ~$1.5M and ~$1.2M across two rounds (+~$500k rapid deploy) [conduit for other funders — overlaps their totals, NOT summed -> statement]",https://forum.effectivealtruism.org/posts/Qoecey2umNjcqEGHP/apply-to-greater-than-50-ai-safety-funders-in-one,forum,med
2024,,Singapore AI Safety Institute,government,evals,statement,,"Singapore AISI = Digital Trust Centre (DTC, set up 2022 with S$50M IMDA funding at NTU), designated the national AISI in 2024; AI evaluation/testing incl AI Verify [2022 seed was broader trust-tech, not AI-safety-specific -> statement]",https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/factsheets/2024/digital-trust-centre,gov,med
2024,,DARPA,government,robustness,statement,,"US DARPA AI Cyber Challenge (AIxCC, 2023-2025): $29.5M cumulative prize purse (incl $8.5M final, $7M small-business) for AI that auto-finds & patches software vulns [AI-for-cybersecurity, adjacent to AI-safety -> statement, not in $-charts]",https://aicyberchallenge.com/overview/,org,high
2024,,IARPA,government,model_organisms,statement,,"US IARPA TrojAI program: research to detect Trojan/backdoor attacks in trained AI models before deployment (image, NLP, cyber, RL) [no public total funding figure -> statement]",https://www.iarpa.gov/research-programs/trojai,gov,med
2024,,Google DeepMind,industry,governance,statement,,"Google DeepMind Frontier Safety Framework (2024, updated 2025): pre-defined 'critical capability levels' + mitigations before frontier deployment — lab self-governance; industry safety spend est. 1-8% of budgets (~$700M-1.25B/yr sector-wide, UNCONFIRMED) -> statement",https://www.longtermwiki.com/wiki/E703,wiki,low
2025,Apr,Goodfire,industry,interpretability,investment,50000000,"Goodfire $50M Series A (Menlo Ventures lead; Anthropic, Lightspeed, B Capital, Work-Bench participating), Apr 2025 — VC EQUITY into an interpretability startup, NOT a grant; separate lens, never summed with grants",https://www.goodfire.ai/blog/announcing-our-50m-series-a,company,high
2026,Jun,Gray Swan AI,industry,robustness,investment,40000000,"Gray Swan AI $40M Series A (Wing + Madrona co-lead), Jun 2026 — AI-security / red-teaming startup out of CMU; equity NOT grant; $50M total disclosed incl two earlier $5M rounds; PARTIAL (2026 incomplete)",https://www.grayswan.ai/news/gray-swan-announces-series-a,company,high
2024,Jul,Lakera,industry,robustness,investment,20000000,"Lakera $20M Series A (Atomico lead; Citi Ventures, Dropbox Ventures, redalpine), Jul 2024 — GenAI security / prompt-injection defense; equity NOT grant; $30M total raised",https://techcrunch.com/2024/07/24/lakera-which-protects-enterprises-from-llm-vulnerabilities-raises-20m/,news,high
2023,Sep,HiddenLayer,industry,robustness,investment,50000000,"HiddenLayer $50M Series A (M12/Microsoft + Moore Strategic Ventures lead; Booz Allen, IBM, Capital One Ventures), Sep 2023 — ML-security platform; equity NOT grant",https://www.hiddenlayer.com/news/hiddenlayer-raises-50m-in-series-a-funding-to-safeguard-ai,company,high
2024,Aug,Protect AI,industry,robustness,investment,108500000,"Protect AI $108.5M total VC (seed $14M Dec 2022, Series A $35M Jul 2023, Series B $60M Aug 2024; Evolution Equity lead) — MLSecOps startup; equity NOT grant",https://aicompliancevendors.com/compare/lakera-vs-protect-ai,analysis,med
2025,Jul,Palo Alto Networks,industry,robustness,statement,,"Palo Alto Networks acquires Protect AI for $634.5M (cash $607.4M + $27.1M replacement awards), completed Jul 2025; folded into Prisma AIRS — equity exit for an AI-security startup, NOT AI-safety grant money -> statement",https://www.sec.gov/Archives/edgar/data/1327567/000132756725000027/R37.htm,sec,high
2024,,Craig Newmark Philanthropies,funder,field_building,statement,,"Craig Newmark (Craigslist founder) gave Common Sense Media ~$14M over the past decade for cybersecurity & AI-safety work; individual donor, mixed cyber/AI-safety scope -> statement, not summed into AI-safety $-charts",https://sandbox.philanthropy.com/news/craigslist-founder-signs-giving-pledge-and-narrows-focus/,news,med
2024,,UK AI Security Institute,government,evals,statement,,"UK AISI (renamed AI Security Institute Feb 2025): ~£50M/yr annual budget committed through the end of the decade (~$63M/yr), on top of the £100M Frontier AI Taskforce seed — largest-funded national AISI; annual (not one-off) -> statement, not summed",https://cfg.eu/the-ai-safety-institute-network-who-what-and-how/,analysis,med
2026,,DE-AISI (Germany),government,evals,statement,,"Germany launches Deutsches KI-Sicherheitsinstitut (DE-AISI, 2026) on BSI/Bundesnetzagentur structures; Bitkom proposes >=EUR100M startup over 2 yrs + EUR75M/yr thereafter — amounts PROPOSED, not confirmed budget -> statement; PARTIAL (2026)",https://www.ad-hoc-news.de/wissenschaft/de-aisi-deutschland-startet-ki-sicherheitsinstitut-mit-100-millionen-euro/69517317,news,med
2024,,IndiaAI,government,evals,statement,,"India stands up an AI Safety Institute under the IndiaAI Mission (Rs 10,372 crore/5yr total, mostly compute/GPU infra ~$1.25B); AISI initial allocation ~Rs 20 crore (~$2.4M) safety-specific -> statement, not summed",https://indiaai.gov.in/news/cabinet-approves-india-ai-mission-at-an-outlay-of-rs-10-372-crore,gov,med
2020,Jul,EleutherAI,research,interpretability,founded,,"EleutherAI founded Jul 2020 (Leahy, Black, Gao); open-source LLM research collective (GPT-J/NeoX), focus shifting to interpretability & alignment; became a non-profit institute",https://www.eleuther.ai/about,org,high
2022,,Apart Research,research,field_building,founded,,"Apart Research founded 2022 (Esben Kran, Copenhagen); remote-first AI-safety research org running hackathons/sprints + evals; 2025 funding $619,921, 22 peer-reviewed papers",https://longterm-wiki.vercel.app/wiki/E1156,wiki,high
2021,,Lakera,industry,robustness,founded,,"Lakera founded 2021 (Zurich); GenAI-security startup (prompt-injection / LLM vulnerability defense), launched publicly Oct 2023",https://techcrunch.com/2024/07/24/lakera-which-protects-enterprises-from-llm-vulnerabilities-raises-20m/,news,high
2022,,Protect AI,industry,robustness,founded,,"Protect AI founded 2022 (Seattle; Swanson, Dehghanpisheh, Ahmed); MLSecOps platform (Guardian/Recon/Layer), acquired by Palo Alto Networks 2025",https://aicompliancevendors.com/compare/lakera-vs-protect-ai,analysis,med
